Incident_ID,ORI,Incident_Date_Str,Incident_Time_Str,City,County,State,Zip_Code,Multiple_Locations,On_K12_Campus,Arrest_Made,Crime_Report_Filed,Contact_Reason,In_Custody_Reason,Num_Involved_Civilians,Num_Involved_Officers
URSUS-34-0400-2016-XDN,CA0340400,8/24/2016,824,Sacramento,Sacramento County,CA,95823,FALSE,FALSE,FALSE,FALSE,Call for Service,,1,3
URSUS-34-0400-2016-XFU,CA0340400,5/1/2016,28,Sacramento,Sacramento County,CA,95816,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-34-0H00-2016-SRX,CA0340H00,1/26/2016,710,Sacramento,Sacramento County,CA,95829,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-34-9600-2016-FQU,CA0349600,8/8/2016,2156,Citrus Heights,Sacramento County,CA,95621,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,3
URSUS-34-9600-2016-RGU,CA0349600,5/19/2016,1556,Citrus Heights,Sacramento County,CA,95610,FALSE,FALSE,FALSE,FALSE,Call for Service,,1,1
URSUS-34-9900-2016-AKH,CA0349900,5/21/2016,1630,Escalon,San Joaquin County,CA,95320,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-34-9900-2016-CFT,CA0349900,12/26/2016,1525,Manhattan Beach,Los Angeles County,CA,90278,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,4
URSUS-34-9900-2016-DKY,CA0349900,8/28/2016,224,Belmont,San Mateo County,CA,94002,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-34-9900-2016-EQC,CA0349900,6/4/2016,1013,Montague,Siskiyou County,CA,96064,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-34-9900-2016-GAB,CA0349900,7/24/2016,1230,Hemet,Riverside County,CA,92545,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-34-9900-2016-GQY,CA0349900,7/3/2016,2250,Fullerton,Orange County,CA,92833,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,2,2
URSUS-34-9900-2016-GTG,CA0349900,2/19/2016,1254,Sacramento,Sacramento County,CA,95824,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,3
URSUS-34-9900-2016-JKC,CA0349900,2/2/2016,957,San Francisco,San Francisco County,CA,94105,TRUE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-34-9900-2016-JPC,CA0349900,8/10/2016,54,Tustin,Orange County,CA,92780,FALSE,FALSE,TRUE,TRUE,In Custody Event,In Transit,1,2
URSUS-34-9900-2016-KKN,CA0349900,12/7/2016,2341,Unincorporated,Sacramento County,CA,95837,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-34-9900-2016-KSH,CA0349900,10/28/2016,1354,Sacramento,Sacramento County,CA,95841,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
